Inputs	Hidden1 Nodes	Hidden2 Nodes	Hidden3 Nodes	Hidden4 Nodes	Hidden5 Nodes	Eta	Alpha	Steps	Val MAPE	Pseudo Test MAPE	Test MAPE
10	10	10	10	0	0	0.1	0.999	100	0.2675739829	0.2690899819	0.2698064163
10	10	10	10	0	0	0.1	0.999	200	0.2675365331	0.2690508784	0.2452191657
10	10	10	10	0	0	0.1	0.999	300	0.2593630673	0.2565480531	0.224672453
10	10	10	10	0	0	0.1	0.999	400	0.2546537152	0.2505299571	0.2217760498
10	10	10	10	0	0	0.1	0.99	100	0.2673985448	0.2689081875	
10	10	10	10	0	0	0.1	0.99	200	0.2672415507	0.2687468344	
10	10	10	10	0	0	0.1	0.99	300	0.267181108	0.2686627877	
10	10	10	10	0	0	0.1	0.99	400	0.2671601956	0.2686634104	
10	10	10	10	0	0	0.1	0.9	100	0.2671500747	0.2686529871	
10	10	10	10	0	0	0.1	0.9	200	0.2671500636	0.2686529834	
10	10	10	10	0	0	0.1	0.9	300	0.2671500636	0.2686529834	
10	10	10	10	0	0	0.1	0.9	400	0.2671500636	0.2686529834	
10	10	10	10	0	0	0.5	0.999	100	0.2695021711	0.2697428942	
10	10	10	10	0	0	0.5	0.999	200	0.2535087896	0.2480346208	0.2259373972
10	10	10	10	0	0	0.5	0.999	300	0.2384873466	0.2308714433	0.2249706188
10	10	10	10	0	0	0.5	0.999	400	0.238532396	0.2315688461	
10	10	10	10	0	0	0.5	0.99	100	0.2682152211	0.2697488108	
10	10	10	10	0	0	0.5	0.99	200	0.2677118072	0.2687406844	
10	10	10	10	0	0	0.5	0.99	300	0.2671414348	0.268649232	
10	10	10	10	0	0	0.5	0.99	400	0.2590914313	0.2565779784	
10	10	10	10	0	0	0.5	0.9	100	0.2671503869	0.2686532673	
10	10	10	10	0	0	0.5	0.9	200	0.2671502715	0.2686531897	
10	10	10	10	0	0	0.5	0.9	300	0.2671502715	0.2686531897	
10	10	10	10	0	0	0.5	0.9	400	0.267150271	0.2686531892	
10	10	10	10	0	0	1	0.999	100	0.2737020186	0.2753938026	
10	10	10	10	0	0	1	0.999	200	0.2481489666	0.2414292654	
10	10	10	10	0	0	1	0.999	300	0.2425355614	0.2356638314	
10	10	10	10	0	0	1	0.999	400	0.2415872977	0.2330383817	
10	10	10	10	0	0	1	0.99	100	0.2684498308	0.2697274499	
10	10	10	10	0	0	1	0.99	200	0.258530123	0.255249831	
10	10	10	10	0	0	1	0.99	300	0.2517786146	0.2443132548	
10	10	10	10	0	0	1	0.99	400	0.2513067127	0.2435782737	
10	10	10	10	0	0	1	0.9	100	0.2671507037	0.2686536327	
10	10	10	10	0	0	1	0.9	200	0.267150414	0.2686533322	
10	10	10	10	0	0	1	0.9	300	0.2671504132	0.2686533314	
