district_ID,poi-1,poi-1#1,poi-1#10,poi-1#11,poi-1#2,poi-1#3,poi-1#4,poi-1#5,poi-1#6,poi-1#7,poi-1#8,poi-1#9,poi-10#1,poi-11,poi-11#1,poi-11#2,poi-11#3,poi-11#4,poi-11#5,poi-11#6,poi-11#7,poi-11#8,poi-12,poi-13#1,poi-13#2,poi-13#4,poi-13#5,poi-13#6,poi-13#8,poi-14,poi-14#1,poi-14#10,poi-14#2,poi-14#3,poi-14#4,poi-14#5,poi-14#6,poi-14#7,poi-14#8,poi-14#9,poi-15,poi-15#1,poi-15#2,poi-15#3,poi-15#4,poi-15#5,poi-15#6,poi-15#7,poi-15#8,poi-16,poi-16#1,poi-16#10,poi-16#11,poi-16#12,poi-16#2,poi-16#3,poi-16#4,poi-16#5,poi-16#6,poi-16#8,poi-16#9,poi-17,poi-17#1
50,83.0,83.0,0.0,166.0,249.0,83.0,0.0,581.0,83.0,0.0,166.0,0.0,0.0,249.0,0.0,0.0,0.0,747.0,0.0,498.0,0.0,2324.0,0.0,0.0,0.0,1743.0,83.0,166.0,0.0,83.0,0.0,0.0,0.0,166.0,0.0,0.0,332.0,0.0,0.0,0.0,664.0,0.0,1245.0,1162.0,0.0,0.0,415.0,249.0,0.0,1577.0,0.0,166.0,83.0,332.0,0.0,249.0,747.0,0.0,0.0,0.0,0.0,0.0,0.0
43,83.0,332.0,0.0,83.0,83.0,0.0,166.0,0.0,249.0,83.0,332.0,0.0,0.0,332.0,498.0,0.0,0.0,166.0,0.0,0.0,332.0,2324.0,0.0,0.0,0.0,913.0,0.0,0.0,83.0,4731.0,0.0,415.0,0.0,249.0,0.0,0.0,913.0,5312.0,83.0,249.0,332.0,0.0,249.0,415.0,83.0,0.0,249.0,415.0,0.0,415.0,0.0,2158.0,415.0,1245.0,166.0,0.0,1079.0,0.0,0.0,0.0,0.0,0.0,0.0
63,83.0,0.0,0.0,332.0,83.0,0.0,83.0,415.0,0.0,83.0,0.0,0.0,0.0,83.0,83.0,83.0,0.0,1162.0,0.0,581.0,0.0,1411.0,0.0,0.0,0.0,415.0,0.0,0.0,0.0,83.0,0.0,0.0,0.0,0.0,0.0,0.0,83.0,0.0,0.0,0.0,498.0,0.0,332.0,1411.0,83.0,0.0,1079.0,249.0,0.0,747.0,0.0,166.0,0.0,664.0,0.0,166.0,415.0,0.0,0.0,0.0,0.0,249.0,0.0
46,2075.0,166.0,249.0,1909.0,1328.0,249.0,166.0,7304.0,0.0,83.0,3154.0,0.0,0.0,13529.0,332.0,3569.0,5561.0,32785.0,1577.0,12865.0,2905.0,31374.0,0.0,0.0,0.0,11039.0,0.0,498.0,1162.0,83.0,0.0,83.0,0.0,249.0,0.0,0.0,498.0,0.0,83.0,0.0,2324.0,0.0,1328.0,2656.0,83.0,83.0,1494.0,498.0,0.0,5146.0,0.0,7968.0,5644.0,1162.0,0.0,166.0,4731.0,0.0,83.0,0.0,0.0,2324.0,0.0
56,0.0,0.0,0.0,166.0,0.0,83.0,0.0,249.0,0.0,0.0,0.0,83.0,0.0,83.0,0.0,83.0,83.0,996.0,0.0,166.0,0.0,1079.0,0.0,0.0,0.0,747.0,249.0,166.0,166.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.0,0.0,0.0,0.0,0.0,0.0,166.0,0.0,249.0,166.0,498.0,0.0,83.0,581.0,0.0,0.0,166.0,0.0,0.0,0.0
6,0.0,0.0,0.0,1162.0,498.0,0.0,83.0,664.0,0.0,0.0,1079.0,83.0,0.0,3071.0,249.0,1079.0,1660.0,15106.0,249.0,4648.0,1411.0,11122.0,0.0,0.0,0.0,3320.0,83.0,83.0,0.0,166.0,0.0,0.0,83.0,166.0,0.0,0.0,166.0,83.0,0.0,0.0,747.0,0.0,249.0,747.0,83.0,0.0,249.0,166.0,0.0,166.0,0.0,830.0,1743.0,415.0,0.0,83.0,1660.0,0.0,0.0,83.0,0.0,83.0,0.0
66,830.0,166.0,0.0,249.0,913.0,249.0,166.0,1494.0,83.0,83.0,1411.0,83.0,0.0,1826.0,830.0,581.0,498.0,2324.0,166.0,1411.0,332.0,15189.0,0.0,0.0,0.0,2573.0,0.0,0.0,332.0,747.0,0.0,166.0,0.0,913.0,0.0,0.0,166.0,1328.0,83.0,581.0,2324.0,83.0,2075.0,5478.0,166.0,0.0,2656.0,415.0,83.0,1743.0,0.0,2988.0,83.0,0.0,249.0,83.0,0.0,0.0,0.0,0.0,0.0,83.0,0.0
31,0.0,0.0,83.0,498.0,166.0,83.0,0.0,1245.0,0.0,0.0,830.0,83.0,0.0,830.0,249.0,332.0,249.0,2656.0,0.0,249.0,498.0,3237.0,0.0,0.0,0.0,2988.0,0.0,0.0,0.0,166.0,0.0,0.0,83.0,249.0,0.0,0.0,0.0,0.0,0.0,0.0,1909.0,0.0,1411.0,2324.0,332.0,0.0,996.0,830.0,0.0,1660.0,0.0,1577.0,415.0,747.0,0.0,332.0,1826.0,0.0,83.0,0.0,0.0,166.0,0.0
18,83.0,0.0,0.0,664.0,249.0,0.0,0.0,1992.0,83.0,0.0,1079.0,83.0,0.0,1411.0,415.0,249.0,166.0,3237.0,0.0,747.0,249.0,5893.0,0.0,0.0,0.0,3320.0,83.0,83.0,0.0,0.0,0.0,83.0,0.0,249.0,0.0,0.0,0.0,0.0,0.0,0.0,830.0,0.0,415.0,1577.0,83.0,0.0,1328.0,166.0,0.0,2656.0,83.0,1079.0,1660.0,913.0,0.0,83.0,1909.0,0.0,0.0,83.0,0.0,498.0,0.0
28,1743.0,332.0,249.0,830.0,913.0,249.0,332.0,8134.0,0.0,0.0,3569.0,0.0,0.0,8964.0,581.0,4814.0,6308.0,31955.0,1494.0,10790.0,1743.0,24236.0,0.0,0.0,0.0,15438.0,166.0,166.0,1245.0,166.0,0.0,581.0,166.0,498.0,0.0,0.0,166.0,0.0,0.0,0.0,3154.0,83.0,1328.0,3652.0,83.0,0.0,3237.0,1743.0,0.0,7221.0,83.0,13778.0,7885.0,1162.0,0.0,0.0,4316.0,0.0,0.0,0.0,249.0,1660.0,0.0
