UTC,weather,pm25,temp
1,1.0,177.0,276.65
2,1.0,177.0,276.15
3,1.0,177.0,276.15
4,1.0,177.0,276.15
5,1.0,177.0,276.15
6,1.0,177.0,276.15
7,1.0,177.0,276.15
8,1.0,177.0,276.15
9,1.0,177.0,276.15
10,1.0,177.0,276.15
11,1.0,206.0,276.15
12,1.0,206.0,276.15
13,1.0,206.0,276.15
14,1.0,206.0,276.15
15,1.0,206.0,276.15
16,1.0,206.0,276.15
17,1.0,206.0,276.15
18,1.0,205.0,276.15
19,1.0,205.0,276.15
20,1.0,205.0,276.15
21,1.0,205.0,276.15
22,1.0,205.0,276.15
23,1.0,195.0,276.15
24,1.0,195.0,276.15
25,1.0,195.0,276.15
26,1.0,195.0,276.15
27,1.0,195.0,276.15
28,1.0,195.0,276.15
29,1.0,195.0,276.15
30,1.0,184.0,276.15
31,1.0,184.0,276.15
32,1.0,184.0,276.15
33,1.0,184.0,275.65
34,1.0,184.0,275.15
35,1.0,184.0,275.15
36,1.0,184.0,275.15
37,1.0,184.0,275.15
38,1.0,184.0,275.15
39,1.0,184.0,275.15
40,1.0,184.0,275.15
41,1.0,181.0,275.15
42,1.0,181.0,275.15
43,1.0,181.0,275.15
44,1.0,181.0,275.15
45,1.0,181.0,275.15
46,1.0,181.0,275.15
47,8.0,175.0,275.15
48,8.0,175.0,275.15
49,8.0,175.0,275.15
50,8.0,175.0,275.15
51,8.0,175.0,275.65
52,8.0,175.0,276.15
53,8.0,178.0,276.15
54,8.0,178.0,276.15
55,8.0,178.0,276.15
56,8.0,178.0,276.15
57,8.0,178.0,276.15
58,8.0,178.0,276.65
59,2.0,186.0,277.15
60,2.0,186.0,277.15
61,2.0,186.0,277.65
62,2.0,186.0,278.15
63,2.0,186.0,278.15
64,2.0,186.0,278.15
65,2.0,205.0,278.15
66,2.0,205.0,278.15
67,2.0,205.0,279.15
68,2.0,205.0,279.15
69,2.0,205.0,280.15
70,2.0,205.0,280.15
71,2.0,205.0,280.15
72,2.0,229.0,280.65
73,2.0,229.0,281.15
74,2.0,229.0,281.15
75,2.0,229.0,281.15
76,2.0,229.0,282.15
77,2.0,232.0,282.15
78,2.0,232.0,282.15
79,2.0,232.0,283.15
80,2.0,232.0,283.15
81,2.0,232.0,283.15
82,2.0,232.0,283.65
83,2.0,214.0,284.15
84,2.0,214.0,284.15
85,2.0,214.0,284.15
86,2.0,214.0,284.15
87,2.0,214.0,284.65
88,2.0,214.0,285.15
89,2.0,189.0,285.15
90,2.0,189.0,285.15
91,2.0,189.0,285.15
92,9.0,189.0,285.15
93,2.0,189.0,285.15
94,2.0,189.0,285.15
95,2.0,168.0,285.65
96,2.0,168.0,285.65
97,2.0,168.0,285.15
98,2.0,168.0,285.15
99,2.0,168.0,285.15
100,2.0,168.0,285.15
101,2.0,168.0,285.15
102,2.0,154.0,284.15
103,2.0,154.0,284.15
104,2.0,154.0,284.15
105,2.0,154.0,283.15
106,2.0,154.0,283.15
107,2.0,146.0,283.15
108,2.0,146.0,283.15
109,2.0,146.0,282.65
110,2.0,146.0,283.15
111,2.0,146.0,283.15
112,2.0,146.0,282.15
113,2.0,153.0,282.15
114,2.0,153.0,282.15
115,2.0,153.0,282.15
116,2.0,153.0,282.15
117,2.0,153.0,282.15
118,2.0,153.0,282.15
119,2.0,141.0,282.15
120,2.0,141.0,281.15
121,2.0,141.0,282.15
122,2.0,141.0,281.65
123,2.0,141.0,281.15
124,2.0,141.0,281.15
125,2.0,141.0,281.15
126,2.0,133.0,281.15
127,2.0,133.0,281.15
128,3.0,133.0,281.15
129,2.0,133.0,281.15
130,2.0,133.0,281.15
131,2.0,128.0,281.15
132,2.0,128.0,281.15
133,2.0,128.0,281.15
134,2.0,128.0,281.15
135,2.0,128.0,281.15
136,2.0,128.0,281.15
137,2.0,126.0,281.15
138,2.0,126.0,281.15
139,2.0,126.0,281.15
140,2.0,126.0,281.15
141,2.0,126.0,281.15
142,2.0,126.0,281.15
143,2.0,131.0,281.15
144,2.0,131.0,281.15
145,2.0,131.0,281.15
146,2.0,131.0,281.15
147,2.0,131.0,281.15
148,2.0,131.0,281.15
149,2.0,140.0,281.15
150,2.0,140.0,281.15
151,2.0,140.0,281.15
152,2.0,140.0,281.15
153,2.0,140.0,281.15
154,2.0,140.0,281.15
155,2.0,163.0,281.15
156,2.0,163.0,281.15
157,2.0,163.0,281.15
158,2.0,163.0,281.15
159,2.0,163.0,281.15
160,2.0,163.0,281.15
161,2.0,173.0,281.15
162,2.0,173.0,281.15
163,2.0,173.0,281.15
164,2.0,173.0,281.15
165,2.0,173.0,281.15
166,2.0,173.0,281.15
167,2.0,179.0,281.15
168,2.0,179.0,281.15
169,2.0,179.0,281.15
170,2.0,179.0,281.15
171,2.0,179.0,281.15
172,2.0,179.0,281.15
173,2.0,179.0,281.15
174,2.0,179.0,281.15
175,2.0,179.0,281.15
176,2.0,179.0,281.15
177,2.0,179.0,280.65
178,2.0,179.0,280.15
179,2.0,179.0,280.15
180,2.0,174.0,280.15
181,2.0,174.0,280.15
182,2.0,174.0,280.15
183,2.0,174.0,280.15
184,2.0,174.0,280.15
185,2.0,170.0,280.15
186,2.0,170.0,280.15
187,2.0,170.0,280.15
188,2.0,170.0,280.15
189,2.0,170.0,280.15
190,2.0,170.0,280.15
191,2.0,166.0,279.65
192,2.0,166.0,279.65
193,2.0,166.0,280.15
194,2.0,166.0,280.15
195,2.0,166.0,280.15
196,2.0,166.0,280.15
197,2.0,160.0,280.65
198,2.0,160.0,281.15
199,2.0,160.0,281.15
200,2.0,160.0,281.15
201,2.0,160.0,281.65
202,2.0,160.0,282.15
203,2.0,160.0,282.15
204,2.0,160.0,282.15
205,3.0,160.0,282.15
206,3.0,160.0,283.15
207,3.0,160.0,283.65
208,3.0,160.0,284.15
209,3.0,161.0,285.15
210,3.0,161.0,285.15
211,3.0,161.0,285.15
212,3.0,161.0,285.65
213,3.0,161.0,286.15
214,3.0,161.0,286.65
215,3.0,167.0,287.15
216,3.0,167.0,287.15
217,3.0,167.0,288.15
218,9.0,167.0,288.15
219,2.0,167.0,288.15
220,2.0,167.0,288.15
221,2.0,156.0,288.15
222,2.0,156.0,288.15
223,2.0,156.0,288.15
224,2.0,156.0,288.15
225,2.0,156.0,288.15
226,2.0,156.0,288.15
227,2.0,142.0,288.15
228,2.0,142.0,289.15
229,2.0,142.0,289.15
230,2.0,142.0,289.15
231,2.0,142.0,289.15
232,2.0,142.0,289.15
233,2.0,142.0,289.15
234,2.0,114.0,289.15
235,2.0,114.0,289.15
236,9.0,114.0,289.65
237,2.0,114.0,290.15
238,2.0,114.0,290.15
239,2.0,103.0,290.65
240,2.0,103.0,290.65
241,2.0,103.0,290.15
242,2.0,103.0,290.15
243,2.0,103.0,290.15
244,2.0,103.0,290.15
245,2.0,91.0,289.65
246,2.0,91.0,289.15
247,2.0,91.0,288.65
248,2.0,91.0,288.15
249,2.0,91.0,288.15
250,2.0,91.0,287.15
251,2.0,85.0,287.15
252,2.0,85.0,286.65
253,2.0,85.0,287.15
254,9.0,85.0,287.15
255,2.0,85.0,286.65
256,2.0,85.0,286.65
257,2.0,86.0,286.65
258,2.0,86.0,286.15
259,2.0,86.0,286.15
260,2.0,86.0,286.15
261,2.0,86.0,286.15
262,2.0,86.0,286.15
263,2.0,100.0,286.15
264,2.0,100.0,285.15
265,2.0,100.0,286.15
266,2.0,100.0,285.65
267,2.0,100.0,285.15
268,2.0,100.0,285.15
269,2.0,118.0,284.65
270,2.0,118.0,284.65
271,2.0,118.0,285.15
272,3.0,118.0,284.15
273,2.0,118.0,284.15
274,2.0,118.0,284.15
275,2.0,131.0,284.15
276,2.0,131.0,284.15
277,4.0,131.0,284.15
278,4.0,131.0,284.15
279,4.0,131.0,284.15
280,4.0,131.0,284.15
281,4.0,146.0,283.65
282,4.0,146.0,283.15
283,4.0,146.0,283.15
284,4.0,146.0,283.65
285,4.0,146.0,283.65
286,4.0,146.0,283.15
287,4.0,151.0,283.15
288,4.0,151.0,283.15
289,4.0,151.0,283.15
290,4.0,151.0,283.15
291,4.0,151.0,283.15
292,4.0,151.0,283.15
293,4.0,147.0,283.15
294,4.0,147.0,283.15
295,4.0,147.0,283.15
296,4.0,147.0,283.15
297,4.0,147.0,283.15
298,4.0,147.0,283.15
299,4.0,161.0,283.15
